date,Paper_Num,subject
2022-01,1042,eess
2022-02,1214,eess
2022-03,1647,eess
2022-04,1303,eess
2022-05,1246,eess
2022-06,1325,eess
2022-07,1278,eess
2022-08,1176,eess
2022-09,1306,eess
2022-10,1491,eess
2022-11,1610,eess
2022-12,1053,eess
2023-01,1016,eess
2023-02,1098,eess
2023-03,1600,eess
2023-04,1314,eess
2023-05,1704,eess
2023-06,1073,eess
date,Paper_Num,subject
2022-01,5507,CS
2022-02,6236,CS
2022-03,7791,CS
2022-04,6388,CS
2022-05,7381,CS
2022-06,6949,CS
2022-07,6439,CS
2022-08,6288,CS
2022-09,6685,CS
2022-10,8486,CS
2022-11,7731,CS
2022-12,6106,CS
2023-01,5645,CS
2023-02,6882,CS
2023-03,8654,CS
2023-04,7122,CS
2023-05,10487,CS
2023-06,6561,CS
date,Paper_Num,subject
2022-01,1614,phy
2022-02,1609,phy
2022-03,1973,phy
2022-04,1515,phy
2022-05,1701,phy
2022-06,1633,phy
2022-07,1493,phy
2022-08,1700,phy
2022-09,1776,phy
2022-10,1695,phy
2022-11,1857,phy
2022-12,1605,phy
2023-01,1732,phy
2023-02,1550,phy
2023-03,1855,phy
2023-04,1578,phy
2023-05,1936,phy
2023-06,1311,phy
date,Paper_Num,subject
2022-01,232,hep-ex
2022-02,217,hep-ex
2022-03,458,hep-ex
2022-04,241,hep-ex
2022-05,251,hep-ex
2022-06,225,hep-ex
2022-07,249,hep-ex
2022-08,246,hep-ex
2022-09,290,hep-ex
2022-10,269,hep-ex
2022-11,335,hep-ex
2022-12,283,hep-ex
2023-01,202,hep-ex
2023-02,208,hep-ex
2023-03,238,hep-ex
2023-04,177,hep-ex
2023-05,249,hep-ex
2023-06,174,hep-ex
date,Paper_Num,subject
2022-01,274,q-bio
2022-02,260,q-bio
2022-03,240,q-bio
2022-04,244,q-bio
2022-05,278,q-bio
2022-06,270,q-bio
2022-07,239,q-bio
2022-08,265,q-bio
2022-09,255,q-bio
2022-10,316,q-bio
2022-11,309,q-bio
2022-12,255,q-bio
2023-01,288,q-bio
2023-02,257,q-bio
2023-03,339,q-bio
2023-04,242,q-bio
2023-05,342,q-bio
2023-06,238,q-bio
date,Paper_Num,subject
2022-01,518,hep-ph
2022-02,531,hep-ph
2022-03,768,hep-ph
2022-04,621,hep-ph
2022-05,683,hep-ph
2022-06,542,hep-ph
2022-07,651,hep-ph
2022-08,614,hep-ph
2022-09,611,hep-ph
2022-10,597,hep-ph
2022-11,793,hep-ph
2022-12,725,hep-ph
2023-01,495,hep-ph
2023-02,489,hep-ph
2023-03,567,hep-ph
2023-04,503,hep-ph
2023-05,662,hep-ph
2023-06,427,hep-ph
date,Paper_Num,subject
2022-01,1291,astro-ph
2022-02,1205,astro-ph
2022-03,1571,astro-ph
2022-04,1287,astro-ph
2022-05,1397,astro-ph
2022-06,1459,astro-ph
2022-07,1430,astro-ph
2022-08,1467,astro-ph
2022-09,1559,astro-ph
2022-10,1553,astro-ph
2022-11,1576,astro-ph
2022-12,1335,astro-ph
2023-01,1456,astro-ph
2023-02,1302,astro-ph
2023-03,1508,astro-ph
2023-04,1241,astro-ph
2023-05,1488,astro-ph
2023-06,1117,astro-ph
date,Paper_Num,subject
2022-01,682,stat
2022-02,941,stat
2022-03,909,stat
2022-04,636,stat
2022-05,900,stat
2022-06,1122,stat
2022-07,735,stat
2022-08,788,stat
2022-09,810,stat
2022-10,1087,stat
2022-11,919,stat
2022-12,679,stat
2023-01,757,stat
2023-02,948,stat
2023-03,900,stat
2023-04,668,stat
2023-05,1137,stat
2023-06,816,stat
date,Paper_Num,subject
2022-01,518,hep-th
2022-02,504,hep-th
2022-03,640,hep-th
2022-04,504,hep-th
2022-05,614,hep-th
2022-06,565,hep-th
2022-07,596,hep-th
2022-08,564,hep-th
2022-09,579,hep-th
2022-10,603,hep-th
2022-11,661,hep-th
2022-12,806,hep-th
2023-01,497,hep-th
2023-02,485,hep-th
2023-03,590,hep-th
2023-04,549,hep-th
2023-05,638,hep-th
2023-06,415,hep-th
date,Paper_Num,subject
2022-01,91,hep-lat
2022-02,74,hep-lat
2022-03,93,hep-lat
2022-04,70,hep-lat
2022-05,82,hep-lat
2022-06,72,hep-lat
2022-07,68,hep-lat
