西安志成德邦物流有限公司（德邦快递）,今天,118525,2517,装卸/搬运工,7500-11000元/月,高陵德邦8000招装卸工,饭补 房补 五险一金 包住 高温/取暖 夜班补贴,招50人 学历不限 经验不限,西安 - 高陵 西安高陵泾环北路与西界路十字向南200米 查看地图,【工作内容】1.负责在规定时间内完成货物的装卸搬运工作。2.负责对货区破损货物进行修复，降低货物破损率。3.整理工装器具，保证货区形象达到标准化。【职位要求】1.初中及以上学历，吃苦耐劳，具有相关的体力劳动经验者优先。2.工作时间：长期夜班，10小时。【薪酬福利】1.工资：7500-11000元左右，2.公司包住，并每月提供食宿补贴；3.员工福利：按国家规定缴纳社保，享受带薪年假、公司互助基金、中秋月饼到家、入职满一年每月“亲情1+1”（公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）；4.各类补贴：晚班享受晚班补贴，冬季取暖补贴（北方城市），夏季高温补贴，特殊技能补贴。5.每年中秋节都会为每一位员工的家人寄去一份月饼礼品包；1.德邦快递欢迎离职员工重返公司。2.此招聘为公司直招，德邦快递及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。，以免受骗损失财物。
江苏鲜时配供应链管理有限公司（鲜时配（美团合作商））,今天,68,0,送餐员/外卖骑手,6500-9000元/月,小寨招外卖骑手保底8K,月结工资 不需要 美团 熟练驾驶电动 公司提供车 健康证 话补 交通补助 加班补助 饭补 房补 包住 大额补贴 距离补贴 天气,招9人 学历不限 经验不限,西安 - 碑林 - 文艺路 西安碑林长安北路33号电信小区 查看地图,就近分配(有意向请主动发起沟通，24小时在线回复)一职位要求:18-45岁 男女不限二、工作地址:西安(碑林区、雁塔区、莲湖区、未央区)均有站点，根据个人意愿就近分配，面试完，方可安排住宿和提车三、薪资待遇:6元-10元单+提成+住宿+意外保险+单量奖金+节假日奖金，无车的公司可提供电动车。磨磨唧唧:7000-8000元时速狂奔:8000-9000元极速狂奔:10000以上四、工作内容:1配送范围:无经验者上岗师傅带训一天基本可以学会，即可自由跑单配送站周围3公里内，电脑自动系统派单，平均每天40--80单左右。
迪亚斯（重庆）物流有限公司,今天,1711,0,送餐员/外卖骑手,6000-12000元/月,龙首原急招送餐员月入8K,加班补助 饭补 房补 包住 五险一金 年底双薪 周末双休 交通补助 话补 免费办理健康证 可预支,招8人 学历不限 经验不限,西安 - 莲湖 - 龙首村 西安莲湖龙首北路西段32号未央区政府向西200米路南都市桂苑 查看地图,爆单站点急聘骑手月8K每月薪资：6000-12000元岗位福利：包住，年底双薪，交通补助，加班补助，高额补贴，多项补贴，恶劣天气补贴职位描述:一，职位要求18-45周岁，吃苦耐劳，有无经验均可、会骑电动车、会看导航二、薪资待遇1、系统派单，每日平均单量50单左右2.综合月收入6000-12000元、上不封顶三、福利待遇1、公司缴纳人身意外、第三者以及工伤保险2、公司为所有员工提供住宿.提供电动车前期不需要缴纳任何费用，无押金，站内统一采用系统派单模式，无需个人抢单，多干多得
江苏鲜时配供应链管理有限公司（鲜时配（美团合作商））,今天,221,6,送餐员/外卖骑手,8000-12000元/月,急招配送员+当天可入职,包住 加班补助 活动补贴 单价补贴 全勤奖励,招18人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 文艺路 西安碑林长安北路33号电信小区 查看地图,1。美团送餐员0押金入职+配车包住+6项奖励+6项补贴。面试合格当天可办理入职。2。 配送区域范围保护站点方圆3公里，无罚款扣钱， 每月发2次工资，可以预支工资!!!单量40-100单单价6-12不等。3。上班时间10：00-14：00，17：00-21：00，其余时间自由安排！一天下来挣到300-400左右，可做短期过渡呀！不用担心没做过，有师傅带教，轻松上手，时间自由。【任职资格】1。18-55岁男女不限，会骑电动车，会看导航。2。单量暴涨，业余时间想挣钱可继续跑单，系统派单。薪资待遇:每月工资=单量提成+全勤奖+话补+恶劣天气补助+车补+各种补贴+APP奖励。公司提供温馨宿舍，多劳多得，月过八千！
迪亚斯（重庆）物流有限公司,今天,2540,0,送餐员/外卖骑手,6000-12000元/月,急招送餐员短时间挣大钱,年底双薪 饭补 房补 五险一金 包住 包吃 周末双休 交通补助 加班补助 话补 0元入职、 免押金 配车,招10人 学历不限 经验不限,西安 - 雁塔 - 大雁塔 西安雁塔雁塔北路永丰酒店新开大雁塔北广场店东侧约90米大雁塔商厦 查看地图,有意向请直接联系，我们会尽快安排面试，一经录用，即可上岗！一、任职要求1、男女不限，年龄18-45岁之间，2、会骑电动车，会看导航，玩得转智能手机二、福利待遇：1、提供住宿，免费配车；2、单王奖，优秀员工奖，其他福利津贴等；3、 人身意外保险4、过节福利待遇，梯级单量提成、全勤奖
苏州蓝黄配科技有限公司,今天,1,0,送餐员/外卖骑手,7889-10989元/月,招聘外卖骑手+7k可预支,包住 交通补助 饭补 话补 房补 加班补助 年底双薪 冲单奖+新人奖 距离补贴 夜宵补贴,招9人 学历不限 经验不限，可接收应届生,西安 - 未央 - 文景南路 西安未央凤城八路北区时尚大街外卖站点 查看地图,意向可投递简历！！！送餐旺季，单多补助多，高薪配车薪资待遇:1、底薪+阶梯式单价提成+暖冬补贴+夜班补助+满勤奖+大额单奖励+准时率奖励+话费补助充+员工生日福利、2、单量充足，每天50-90单，5元-7元每单，综合工资7000元到14000元3，站点提供车子和住宿，宿舍公寓，空调，热水器，洗衣机都有的，有老员工带你职位要求：1、18-45岁2、有无经验均可3、悉使用地图，导航(我们只看你是否有意愿)4、学历不是你的硬指标(我们只看能力，只认付出)5、有良好的服务意识、将用户的餐品订单送至客户的订餐地点6，快递员，送餐员，骑手，外卖员，配送员，服务员，优先录用工作时间:上午10:00至下午14:00，晚上17:00至晚上21:00意向可投递简历
西安博耀星辉企业管理咨询有限公司,今天,172,1,送餐员/外卖骑手,7056-14046元/月,大量聘送餐员直招配车,话补 包住 交通补助 加班补助 高温补贴 距离补贴 大额补贴,招24人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 城西客运站 西安莲湖大庆路645号西安市公交一公司2号家属院 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！工作内容：【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶略天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司会定期组织员工团建，过节过生日公司会安排对员工关怀送礼品，定期评选优秀员工，跑单王等多项现金奖励，表现突出者有机会晋升为公司管理层，保证公平透明公证的原则进行评选，只要你肯干肯努力加入我们不管学历都会给你展现自我的平台，体现自身价值，找到属于你的自信公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）赶快来吧！我们一起干！努力就有机会，拼搏定能成功！工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。温馨提示：公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】
未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据
未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据,未找到数据
北京三快到家科技有限公司,今天,58,1,送餐员/外卖骑手,6000-10000元/月,汉城站点直招送餐员,交通补助 加班补助,招20人 学历不限 经验不限,西安 - 未央 西安未央西安市未央区凤城五路 查看地图,美团专送骑手招聘！无三方费用，派单制，西安超多站点覆盖，就近分配，有需求可提供住宿。任职要求：1.年龄18-52周岁，性别不限；2.会骑电动车，会使用只能手机导航；3.遵纪守法，无不良记录；薪资待遇：日均40-80单，200-600元/天，另外有距离补贴、时间补贴、天气补贴、新人补贴、大额单补贴、各种补贴；还有高额底薪、新人奖金、冲单奖金、工龄奖金等等；综合薪资8000-13000！工作区域西安全市覆盖，100多个区域站点就近分配；新城区（五路口，胡家庙，韩森寨，长乐坡）碑林区（南稍门，李家村，钟楼，草场坡，兴善寺）雁塔区（小寨，电视台，太白南路，大雁塔，凤栖原，韦曲）沣东新区（三桥，后卫寨）未央区（百花村，凤城六路，谭家街，龙首原）莲湖区（红庙坡，枣园，西关）灞桥区（席王，纺织城）工作时间：8小时工作制，早班（6:00-20:00）、长白班（9:00-21:00）、夜班（23:00-2:00）可选择，其他时间可自由安排。工作内容：手机APP接取派到的订单-系统精准导航-商家取餐-餐品送达客户手中-APP点击完成订单。不熟悉路线还有老员工带跑哦！面试请携带身份证哦！
