迪亚斯（重庆）物流有限公司（饿了么配送合作商）,今天,33,0,送餐员/外卖骑手,7000-14000元/月,送餐员包住+0费用入职,饿了么 熟练驾驶电动 熟练使用导航 公司提供车 房补 加班补助 饭补 包住 年底双薪 交通补助 新人奖 0押金 0费用入职,招10人 学历不限 经验不限,西安 - 高新区 - 科技路西口 西安高新区地铁3号线鱼化寨 查看地图,薪资待遇:单价6-10元/单，综合薪资 7000-14000+，上不封顶。一天平均50-90单，系统派单无需抢单，配送范围就在周边三公里内。足够努力，上不封顶， 多劳多得!福利:1.底薪+全勤奖+提成+距离补贴+冲单奖+不定期节日补贴等等更多福利补贴。2.站点提供宿舍，随时欢迎入住。3.车子，装备等站点可提供。招聘条件:1.18-45岁，男女不限。2.身体健康，无犯罪记录。3.会骑电动车，会看手机导航。面试通过当天可办理入职入住。工作时间：一天累计在线8小时即可，其他时间自由安排11:00——14:00午高峰；17:00——21:00晚高峰外卖行业是凭借个人能力吃饭的行业，只要肯干，那就能赚。【晋升路径】：骑手—组长—站长—区域经理—城市经理
陕西捷巧配送服务有限公司,今天,111,0,送餐员/外卖骑手,8251-13076元/月,配送员包住包车0费用入职,不需要 公司提供车 包住 加班补助 包吃 话补 饭补 年底双薪 交通补助 提供住宿，提供车 0押金，可预支 可短期，离家近,招15人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 南稍门 西安碑林西安市碑林区南稍门 查看地图,工作内容：工作内容：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7652+，白天加班跑10000+，夜宵拼命跑12500+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2700-3500，平均每天50单，每单6-12元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
迪亚斯（重庆）物流有限公司（饿了么配送合作商）,今天,117,5,送餐员/外卖骑手,8000-15000元/月,饿了么直招外卖骑手0押,饿了么 熟练驾驶电动 熟练使用导航 公司提供车 房补 加班补助 饭补 包住 年底双薪 交通补助 新人奖 0押金 0费用入职,招6人 学历不限 经验不限,西安 - 碑林 - 小雁塔 西安碑林地铁2号线地铁5号线南稍门 查看地图,【招聘职位】饿了么站点直招送餐员，0费用入职，面试完即可入职上岗，安排住宿和提车。【任职要求】1、年龄18-45岁2、没有案底3、会骑车，会使用导航【工作时间】10：00-14：00（午高峰）， 17：00-21：00（晚高峰），其余时间可自由安排，月休假4天，可调休，可请假、多劳多得、时间自由分配。【工资待遇】底薪3500，平均每天80-160单，每单6-10元，单量提成+福利津贴（距离补贴、夜班补贴、高温补贴及暖冬补贴等）【福利待遇】站点提供车辆（无需任何押金），提供住宿（空调热水器齐全，直接拎包入住），入职办理保险。【岗位职责】负责以站点为中心3公里以内的餐食订单配送，入职安排老骑手带教，轻松上手。【升职空间】骑手——队长——运营——站长——城市经理！欢迎直接电话联系或投递简历~~~
苏州闪送网络科技有限公司,今天,1,0,送餐员/外卖骑手,7298-10296元/月,零押金月7k+外卖骑手,五险一金 加班补助 房补 饭补 包住 可预支 拎包入住 无经验可,招8人 学历不限 经验不限，可接收应届生,西安 - 未央 - 文景南路 西安未央世融嘉城世融嘉城二期 查看地图,求职者你好，现因业务量的急剧增长，需求外卖送餐员，如有意向可直接在线联系或投简历，优先安排面试任职资格，直接办理入住薪资待遇:（1）底薪+阶梯式单价提成+暖冬补贴+夜班补助+满勤奖+大额单奖励+单王奖+优秀员工奖+高温补贴+恶劣天气补贴+工龄奖+冲单奖+年终奖+春节在岗补贴（2）单量充足，每天50-90单，5-8元每单（3）轻轻松松干月工资7000---10000元。（不封顶，多劳多得）备注：（站点不同，薪资待遇不同）送餐员负责接外卖下派的订单，接单后按照订单信息取餐送餐；【招聘条件】（1）年龄必须满18—50周岁，无犯罪记录，身体健康，无 ，（2）会骑电动车，会使用智能导航.（3）有无经验均可，只要期待高薪，踏实肯干，全程免费培训，有人教有人带。【工作时间】早上10点-下午2点、下午5点-晚上9点。（注：两个时间段必须在岗，其他时间段可选择加班）【任职资格】（1）有无经验均可，只要你会骑电动车（我们只看你是否有意愿！）（2）来可提供住宿，提供车辆。温馨提示;招外卖骑手。为本公司直招，欢迎社会人士前来挑战高薪!如有报名意向，请直接投递简历。.。。
运城市新邦物流有限公司（新邦物流（美团合作商））,今天,272,1,送餐员/外卖骑手,7500-10000元/月,招聘骑手奖金2000,交通补助 加班补助 年底双薪,招10人 学历不限 经验不限,西安 - 高新区 - 木塔寺公园 西安高新区地铁6号线木塔寺 查看地图,工作内容：取餐，送餐————就是送外卖职位要求：会骑车，会导航，能吃苦！！工作时间：上午10点-14点下午16-21点，每天9小时全城就近分配！月休3-4！不压工资，可预支工资~管住配车
陕西忆嘉餐饮管理服务有限公司,今天,338,6,送餐员/外卖骑手,8000-12000元/月,无门槛0押金骑手提供车住,包吃 包住 就近分配 预支工资 0押金,招10人 学历不限 经验不限，可接收应届生,西安 - 长安 - 韦曲 西安长安地铁2号线航天城 查看地图,【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【找聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑8000+，白天加班跑10000+，夜宵拼命跑12000+【工作地点】全西安就近安排站点【工作时间】10：00-14：0017：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2500-3400，平均每天50单，每单5-15元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教
西安志成德邦物流有限公司（德邦快递）,今天,118342,2505,装卸/搬运工,7500-11000元/月,高陵德邦8000招装卸工,饭补 房补 五险一金 包住 高温/取暖 夜班补贴,招50人 学历不限 经验不限,西安 - 高陵 西安高陵泾环北路与西界路十字向南200米 查看地图,【工作内容】1.负责在规定时间内完成货物的装卸搬运工作。2.负责对货区破损货物进行修复，降低货物破损率。3.整理工装器具，保证货区形象达到标准化。【职位要求】1.初中及以上学历，吃苦耐劳，具有相关的体力劳动经验者优先。2.工作时间：长期夜班，10小时。【薪酬福利】1.工资：7500-11000元左右，2.公司包住，并每月提供食宿补贴；3.员工福利：按国家规定缴纳社保，享受带薪年假、公司互助基金、中秋月饼到家、入职满一年每月“亲情1+1”（公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）；4.各类补贴：晚班享受晚班补贴，冬季取暖补贴（北方城市），夏季高温补贴，特殊技能补贴。5.每年中秋节都会为每一位员工的家人寄去一份月饼礼品包；1.德邦快递欢迎离职员工重返公司。2.此招聘为公司直招，德邦快递及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。，以免受骗损失财物。
陕西荣达时代餐饮管理有限公司,今天,69,1,送餐员/外卖骑手,7280-12850元/月,送餐员专送多劳多得0押金,随时提现到账 不需要 公司提供车 美团 包住 加班补助 包吃 年底双薪 交通补助 饭补 话补 房补 五险一金 周末双休 0押金可预支 提供车和住宿 新人奖励,招11人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 文艺路 西安碑林万达广场李家村店 查看地图,工作内容：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7280+，白天加班跑10000+，夜宵拼命跑12850+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪3000-3500，平均每天50-80单，每单6-12元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴等）+新人奖励500--2000【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
苏州乐跑外卖配送有限公司,今天,1,0,送餐员/外卖骑手,8122-13555元/月,急招骑手1W＋配车,包住 加班补助 饭补 话补 房补 交通补助,招12人 学历不限 经验不限,西安 - 未央 - 太元路 西安未央未央区太和路99号长安易居 查看地图,工作内容：职位要求：工作时间：本公司为直接招聘！工资准时发放，可投递简历！！薪资待遇：一、单价：5元-7元/单，综合工资7000元到12000元，多劳多得的二、福利：新人奖500+全勤奖每月300+夏季高温补贴4500左右，正常干7000---9000元/月，努力干10000---11000元/月，使劲干12000以上（不封顶）一、工作内容：骑手通过配送系统线上按单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等据订单信息到商家拿商品送至客户手中二、工作时间：上午10：00-14：00，下午17：00-21：00，其他时间可休息或接单，三、岗位要求：年龄18-45周岁，身体健康五、宿舍环境小区房，2-3人一间，设备齐全（空调，洗衣机，热水器）六·派单问题系统派单，3公里范围，公平公正，不用担心没有单！自动调度订单，接单后按照订单信息上门取餐送餐。有车辆可自带，无车辆公司可以提供。意向可投递简历！！！！！
苏州闪送网络科技有限公司,今天,0,0,送餐员/外卖骑手,7281-10029元/月,招骑手零押金月7k起,五险一金 加班补助 房补 饭补 包住 可预支 拎包入住 无经验可,招11人 学历不限 经验不限，可接收应届生,西安 - 新城 - 尚勤路 西安新城中山门街道鑫源大厦鑫源大厦A座 查看地图,【面试通过，当天办理入职，当天上班，提供住宿，公司可配车，综合薪资7000-11000上不封顶。】薪资待遇1、单价5-8，阶梯式，站点会给骑手送餐员下载骑手专用APP导航。根据导航送餐。2、正常跑单每天50-80单，多劳多得，综合7000-11000没问题，基本工资+单量提成+好评奖励+冲单奖励+话补+全勤奖+加班补助+夜间补贴备注：（站点不同，薪资待遇不同）3、早点+夜宵+恶劣天补助4、公司可以提供住宿车辆，吃饭去合作餐厅打5-7折，站长人很棒，负责解决一切上岗问题，缺钱的，没地方住的都可过来上班，踏实干就行职位要求：1、年龄18-50岁左右，品行端正，无不良嗜好，无犯罪案底.2、具备快速的学习能力，会骑电瓶车，灵活的熟悉使用地图，导航。.3、有良好的服务意识、和服务精神。4、吃苦耐劳，有强烈的目标感；工作职责5、所属区域内，安全，快速，友善的将餐点送至地点；6、快递员，操作工，普工，搬运工，技工，服务员，配送员优先录用（18-50岁优先）工作时间：1、高峰时间在线：早9:00-14：00晚17:00-21:002、每天需要在岗8个小时，其余时间自行安排3. 上午7:00—9:00早餐（自愿）有意向可投递简历，我会及时回复的！！！！！
